period_range,merchant,game_id,weekly_unique_users,active_days
20251013-20251019,1713329090,1698217738384,722,7
20251013-20251019,1737978166,1698217740805,647,7
20251013-20251019,1751602642,1698217740561,635,7
20251013-20251019,1713329090,1698217739427,634,7
20251013-20251019,1757738096,1698217743605,627,7
20251013-20251019,1737978166,1698217738746,620,7
20251013-20251019,1741932733,1698217744543,617,7
20251013-20251019,1741762027,1698217738829,612,7
20251013-20251019,1716179958,1698217737324,595,7
20251013-20251019,1737978166,1698217738738,582,7
20251013-20251019,1751632483,1698217741233,580,7
20251013-20251019,1698203058,1698217738468,566,7
20251013-20251019,1698203058,1698217737132,566,7
20251013-20251019,1698203058,1698217738315,552,7
20251013-20251019,1757302420,1698217743928,539,7
20251013-20251019,1713329090,1698217741309,521,7
20251013-20251019,1723801345,1698217738107,512,7
20251013-20251019,1750762420,1698217740225,510,7
20251013-20251019,1737978166,1698217738740,492,7
20251013-20251019,1737978166,1698217738748,479,7
20251013-20251019,1751602642,1698217740589,475,7
20251013-20251019,1737978166,1698217739206,457,7
20251013-20251019,1716179958,1698217737556,452,7
20251013-20251019,1698203058,1698217741291,450,7
20251013-20251019,1716179958,1698217739011,438,7
20251013-20251019,1716179958,1698217740137,436,7
20251013-20251019,1737978166,1698217738762,427,7
20251013-20251019,1737978166,1698217738755,425,7
20251013-20251019,1698203058,1698217737033,424,7
20251013-20251019,1713329090,1698217738333,417,7
20251013-20251019,1741762027,1698217738825,417,7
20251013-20251019,1698202251,1698217739404,403,7
20251013-20251019,1753353246,1698217743407,402,7
20251013-20251019,1719571148,1698217738245,402,7
20251013-20251019,1723801345,1698217738129,401,7
20251013-20251019,1698202662,1698217738311,387,7
20251013-20251019,1698202662,1698217739405,381,7
20251013-20251019,1750762420,1698217740221,377,7
20251013-20251019,1749463700,1698217739284,373,7
20251013-20251019,1757302420,1698217743929,371,7
20251013-20251019,1741762027,1698217744542,367,7
20251013-20251019,1713329090,1698217738282,363,7
20251013-20251019,1698202251,1698217740462,352,7
20251013-20251019,1698202662,1698217740463,351,7
20251013-20251019,1737978166,1698217738763,350,7
20251013-20251019,1713329090,1698217736884,350,7
20251013-20251019,1751602642,1698217740565,345,7
20251013-20251019,1698202251,1698217738361,341,7
20251013-20251019,1698202662,1698217738209,337,7
20251013-20251019,1698202251,1698217738463,331,7
20251013-20251019,1737978166,1698217738753,323,7
20251013-20251019,1713329090,1698217744512,321,7
20251013-20251019,1713329090,1698217736891,321,7
20251013-20251019,1749463700,1698217740526,320,7
20251013-20251019,1757738096,1698217743612,319,7
20251013-20251019,1713329090,1698217738486,295,7
20251013-20251019,1698203058,1698217736276,294,7
20251013-20251019,1750762420,1698217740194,293,7
20251013-20251019,1698203058,1698217736608,292,7
20251013-20251019,1698203058,1698217736794,292,7
20251013-20251019,1713329090,1698217744677,288,7
20251013-20251019,1737978166,1698217738752,287,7
20251013-20251019,1750413710,1698217739502,285,7
20251013-20251019,1698203058,1698217737530,284,7
20251013-20251019,1737978166,1698217738754,275,7
20251013-20251019,1698202662,1698217737094,266,7
20251013-20251019,1751602642,1698217740577,265,7
20251013-20251019,1716179958,1698217737594,262,7
20251013-20251019,1737978166,1698217738750,258,7
20251013-20251019,1750413710,1698217739501,253,7
20251013-20251019,1751602642,1698217740578,251,7
20251013-20251019,1751632483,1698217741206,245,7
20251013-20251019,1757738096,1698217743611,243,7
20251013-20251019,1751602642,1698217740557,242,7
20251013-20251019,1737978166,1698217742855,242,7
20251013-20251019,1756783981,1698217743688,241,5
20251013-20251019,1716179958,1698217737322,240,7
20251013-20251019,1741932733,1698217741340,238,7
20251013-20251019,1737978166,1698217738760,236,7
20251013-20251019,1755248023,1698217743214,235,7
20251013-20251019,1751602642,1698217740579,233,7
20251013-20251019,1755248023,1698217743232,233,7
20251013-20251019,1741762027,1698217739208,232,7
20251013-20251019,1713329090,1698217740485,227,7
20251013-20251019,1756280066,1698217743578,227,7
20251013-20251019,1698202251,1698217740106,227,7
20251013-20251019,1716179958,1698217737313,226,7
20251013-20251019,1698203058,1698217744494,225,7
20251013-20251019,1698202662,1698217740107,225,7
20251013-20251019,1737978166,1698217738759,224,7
20251013-20251019,1751602642,1698217740581,222,7
20251013-20251019,1698202662,1698217738030,218,7
20251013-20251019,1737978166,1698217743803,214,7
20251013-20251019,1737978166,1698217738758,211,7
20251013-20251019,1756280066,1698217743612,210,7
20251013-20251019,1737978166,1698217738756,207,7
20251013-20251019,1698203058,1698217736031,206,7
20251013-20251019,1756280066,1698217743611,206,7
20251013-20251019,1741762027,1698217740159,205,7
20251013-20251019,1741762027,1698217744707,199,7
20251013-20251019,1698202251,1698217738208,194,7
20251013-20251019,1723801345,1698217738132,193,7
20251013-20251019,1716179958,1698217737301,193,7
20251013-20251019,1751602642,1698217740572,193,7
20251013-20251019,1698202662,1698217737266,191,7
20251013-20251019,1755246422,1698217743163,191,4
20251013-20251019,1698202662,1698217738464,190,7
20251013-20251019,1741762027,1698217741903,187,7
20251013-20251019,1698202251,1698217737093,186,7
20251013-20251019,1756783981,1698217745049,183,3
20251013-20251019,1749463700,1698217744718,183,7
20251013-20251019,1749463700,1698217744553,182,7
20251013-20251019,1751632483,1698217741200,182,7
20251013-20251019,1713329090,1698217740129,182,7
20251013-20251019,1698202662,1698217738362,180,7
20251013-20251019,1713329090,1698217736893,174,7
20251013-20251019,1755248023,1698217743211,174,7
20251013-20251019,1751602642,1698217740567,172,7
20251013-20251019,1716179958,1698217739008,170,7
20251013-20251019,1716179958,1698217737328,170,7
20251013-20251019,1723801345,1698217738128,166,7
20251013-20251019,1749463700,1698217739468,166,7
20251013-20251019,1741762027,1698217738832,165,7
20251013-20251019,1755246422,1698217743195,162,4
20251013-20251019,1698202251,1698217738029,162,7
20251013-20251019,1716179958,1698217739013,161,7
20251013-20251019,1751632483,1698217741234,160,7
20251013-20251019,1737978166,1698217740907,158,7
20251013-20251019,1756783981,1698217743689,155,5
20251013-20251019,1716179958,1698217737302,155,7
20251013-20251019,1750762420,1698217740212,155,7
20251013-20251019,1751632483,1698217741389,152,7
20251013-20251019,1698203058,1698217744659,152,7
20251013-20251019,1713329090,1698217739178,150,7
20251013-20251019,1716179958,1698217737309,150,7
20251013-20251019,1741762027,1698217738815,148,7
20251013-20251019,1741762027,1698217738830,148,7
20251013-20251019,1751632483,1698217741201,143,7
20251013-20251019,1723801345,1698217738122,142,7
20251013-20251019,1716179958,1698217737315,140,7
20251013-20251019,1698202662,1698217737230,138,7
20251013-20251019,1698202251,1698217736114,138,7
20251013-20251019,1755248023,1698217743203,136,7
20251013-20251019,1751632483,1698217741709,134,7
20251013-20251019,1753174385,1698217741799,134,7
20251013-20251019,1755248023,1698217743236,133,7
20251013-20251019,1755246422,1698217743184,131,4
20251013-20251019,1716179958,1698217737784,131,7
20251013-20251019,1719571148,1698217738066,130,7
20251013-20251019,1698202662,1698217736604,126,7
20251013-20251019,1713329090,1698217741629,124,7
20251013-20251019,1698203058,1698217736310,123,7
20251013-20251019,1751602642,1698217743844,122,7
20251013-20251019,1756280066,1698217743582,122,7
20251013-20251019,1698203058,1698217737987,122,7
20251013-20251019,1719571148,1698217741323,122,7
20251013-20251019,1751632483,1698217741953,121,7
20251013-20251019,1737978166,1698217738767,121,7
20251013-20251019,1713329090,1698217737288,121,7
20251013-20251019,1741762027,1698217738807,120,7
20251013-20251019,1741762027,1698217738809,120,7
20251013-20251019,1755248023,1698217743228,120,7
20251013-20251019,1755248023,1698217743213,119,7
20251013-20251019,1741932733,1698217738840,119,7
20251013-20251019,1698203058,1698217736822,114,7
20251013-20251019,1755248023,1698217743207,114,7
20251013-20251019,1756280066,1698217743610,112,7
20251013-20251019,1755246422,1698217743167,111,4
20251013-20251019,1698202662,1698217736846,110,7
20251013-20251019,1750762420,1698217740219,110,7
20251013-20251019,1713329090,1698217740777,109,7
20251013-20251019,1718444707,1698217738065,109,7
20251013-20251019,1698203058,1698217740467,108,7
20251013-20251019,1756280066,1698217743572,108,7
20251013-20251019,1716179958,1698217739009,108,7
20251013-20251019,1749463700,1698217739266,105,7
20251013-20251019,1756280066,1698217743598,105,7
20251013-20251019,1750762420,1698217740202,104,7
20251013-20251019,1756280066,1698217743592,103,7
20251013-20251019,1751602642,1698217741942,103,7
20251013-20251019,1747388774,1698217739146,102,7
20251013-20251019,1751602642,1698217740573,100,7
20251013-20251019,1755248023,1698217743231,99,7
20251013-20251019,1698202251,1698217736485,98,7
20251013-20251019,1756280066,1698217743601,97,7
20251013-20251019,1749463700,1698217740920,97,7
20251013-20251019,1741932733,1698217738845,97,7
20251013-20251019,1749463700,1698217740170,96,7
20251013-20251019,1749463700,1698217739279,96,7
20251013-20251019,1755246422,1698217743159,94,4
20251013-20251019,1749463700,1698217739278,93,7
20251013-20251019,1698202251,1698217736789,92,7
20251013-20251019,1698202251,1698217737525,92,7
20251013-20251019,1713329090,1698217740879,92,7
20251013-20251019,1741932733,1698217740516,91,7
20251013-20251019,1755248023,1698217743224,90,7
20251013-20251019,1713329090,1698217741873,89,7
20251013-20251019,1698203058,1698217739160,89,7
20251013-20251019,1747388774,1698217739137,88,7
20251013-20251019,1751602642,1698217740587,88,7
20251013-20251019,1751602642,1698217740585,88,7
20251013-20251019,1698203058,1698217741611,87,7
20251013-20251019,1749463700,1698217739285,86,7
20251013-20251019,1698203058,1698217740111,85,7
20251013-20251019,1755246422,1698217743169,83,4
20251013-20251019,1751632483,1698217741203,82,7
20251013-20251019,1698202251,1698217737265,81,7
20251013-20251019,1751632483,1698217741229,79,7
20251013-20251019,1741932733,1698217738841,78,7
20251013-20251019,1698203058,1698217737568,77,7
20251013-20251019,1718444707,1698217739440,77,7
20251013-20251019,1718444707,1698217741322,76,7
20251013-20251019,1718444707,1698217740498,76,7
20251013-20251019,1755248023,1698217743241,75,7
20251013-20251019,1756280066,1698217743576,75,7
20251013-20251019,1741762027,1698217738831,75,7
20251013-20251019,1742289481,1698217739004,74,7
20251013-20251019,1741762027,1698217743805,74,7
20251013-20251019,1754281426,1698217743058,74,7
20251013-20251019,1749463700,1698217739258,74,7
20251013-20251019,1698202251,1698217736845,74,7
20251013-20251019,1751602642,1698217740574,74,7
20251013-20251019,1698202251,1698217736271,74,7
20251013-20251019,1713329090,1698217742827,73,7
20251013-20251019,1741762027,1698217738811,73,7
20251013-20251019,1698203058,1698217741855,73,7
20251013-20251019,1741932733,1698217744708,71,5
20251013-20251019,1713329090,1698217743775,71,7
20251013-20251019,1751602642,1698217740556,70,7
20251013-20251019,1757738096,1698217743572,70,7
20251013-20251019,1713329090,1698217736883,68,7
20251013-20251019,1713329090,1698217737150,65,7
20251013-20251019,1713329090,1698217736877,63,7
20251013-20251019,1752566036,1698217741545,62,7
20251013-20251019,1756783981,1698217743675,62,5
20251013-20251019,1750762420,1698217740198,62,7
20251013-20251019,1698203058,1698217736490,62,7
20251013-20251019,1750762420,1698217740220,62,7
20251013-20251019,1751632483,1698217741208,60,7
20251013-20251019,1755248023,1698217743216,60,7
20251013-20251019,1752747448,1698217741746,60,7
20251013-20251019,1698202251,1698217737229,59,7
20251013-20251019,1755246422,1698217743177,58,4
20251013-20251019,1698203058,1698217736019,58,7
20251013-20251019,1713329090,1698217737548,57,7
20251013-20251019,1698203058,1698217736510,57,7
20251013-20251019,1760338096,1698217745031,56,6
20251013-20251019,1749463700,1698217741914,56,7
20251013-20251019,1698202251,1698217739155,55,6
20251013-20251019,1751632483,1698217741207,55,7
20251013-20251019,1756280066,1698217743579,54,7
20251013-20251019,1760338096,1698217745032,54,6
20251013-20251019,1751602642,1698217741698,53,7
20251013-20251019,1756280066,1698217743584,53,7
20251013-20251019,1713329090,1698217736889,53,7
20251013-20251019,1749463700,1698217741670,52,7
20251013-20251019,1751632483,1698217741204,52,7
20251013-20251019,1716179958,1698217737304,52,7
20251013-20251019,1698202662,1698217737128,52,7
20251013-20251019,1741762027,1698217738817,52,7
20251013-20251019,1741932733,1698217738849,51,7
20251013-20251019,1750762420,1698217740206,51,7
20251013-20251019,1698202662,1698217737029,50,7
20251013-20251019,1751602642,1698217740569,50,7
20251013-20251019,1752566036,1698217741540,49,7
20251013-20251019,1698202251,1698217737563,49,7
20251013-20251019,1749463700,1698217740818,49,7
20251013-20251019,1757738096,1698217743578,49,7
20251013-20251019,1756280066,1698217743599,48,7
20251013-20251019,1753174385,1698217741789,47,7
20251013-20251019,1741932733,1698217738851,47,7
20251013-20251019,1757738096,1698217743601,47,7
20251013-20251019,1756280066,1698217743581,47,7
20251013-20251019,1755248023,1698217743217,46,7
20251013-20251019,1751602642,1698217740563,46,7
20251013-20251019,1752747448,1698217741719,44,6
20251013-20251019,1750762420,1698217740547,43,7
20251013-20251019,1755248023,1698217743201,43,7
20251013-20251019,1716179958,1698217739186,43,7
20251013-20251019,1716179958,1698217739012,43,7
20251013-20251019,1719571148,1698217739441,43,7
20251013-20251019,1750762420,1698217740226,43,7
20251013-20251019,1747388774,1698217739141,42,7
20251013-20251019,1750413710,1698217739506,42,7
20251013-20251019,1741762027,1698217738823,42,7
20251013-20251019,1755246422,1698217743173,42,4
20251013-20251019,1752566036,1698217741527,42,7
20251013-20251019,1723801345,1698217738130,41,7
20251013-20251019,1741932733,1698217738866,41,7
20251013-20251019,1751602642,1698217740566,41,7
20251013-20251019,1741932733,1698217738859,41,7
20251013-20251019,1757302420,1698217743938,41,7
20251013-20251019,1698203058,1698217742809,40,7
20251013-20251019,1756280066,1698217743573,39,7
20251013-20251019,1757738096,1698217743610,39,7
20251013-20251019,1751602642,1698217740948,39,7
20251013-20251019,1713329090,1698217736880,39,7
20251013-20251019,1752747448,1698217741756,39,5
20251013-20251019,1754281426,1698217743057,38,7
20251013-20251019,1747388774,1698217739145,38,7
20251013-20251019,1749463700,1698217741350,38,7
20251013-20251019,1698203058,1698217736231,38,7
20251013-20251019,1756280066,1698217743596,37,7
20251013-20251019,1698202251,1698217736603,37,7
20251013-20251019,1741932733,1698217738862,37,7
20251013-20251019,1752747448,1698217741717,37,6
20251013-20251019,1751632483,1698217741220,37,7
20251013-20251019,1723801345,1698217738117,37,7
20251013-20251019,1752566036,1698217741542,36,7
20251013-20251019,1757302420,1698217743933,36,7
20251013-20251019,1751632483,1698217741210,36,7
20251013-20251019,1757302420,1698217743932,36,7
20251013-20251019,1755246422,1698217743157,36,4
20251013-20251019,1723801345,1698217738131,36,7
20251013-20251019,1755246422,1698217743196,35,4
20251013-20251019,1750413710,1698217739497,35,7
20251013-20251019,1755246422,1698217743197,35,4
20251013-20251019,1755248023,1698217743209,35,7
20251013-20251019,1755248023,1698217743226,35,7
20251013-20251019,1698203058,1698217736367,35,7
20251013-20251019,1747388774,1698217739132,35,7
20251013-20251019,1756280066,1698217743600,34,6
20251013-20251019,1723801345,1698217738125,34,7
20251013-20251019,1713329090,1698217736886,34,7
20251013-20251019,1755246422,1698217743181,34,4
20251013-20251019,1751602642,1698217740571,34,7
20251013-20251019,1755246422,1698217743187,34,4
20251013-20251019,1698202251,1698217737127,34,6
20251013-20251019,1750762420,1698217740204,33,7
20251013-20251019,1750762420,1698217740214,33,7
20251013-20251019,1698202251,1698217736396,33,7
20251013-20251019,1755248023,1698217743240,33,7
20251013-20251019,1754281426,1698217743060,33,7
20251013-20251019,1755246422,1698217743182,33,4
20251013-20251019,1752566036,1698217741551,32,7
20251013-20251019,1749463700,1698217739262,32,7
20251013-20251019,1755248023,1698217743221,32,7
20251013-20251019,1752747448,1698217741727,32,6
20251013-20251019,1750762420,1698217740217,31,7
20251013-20251019,1698203058,1698217743757,31,7
20251013-20251019,1756280066,1698217743597,31,7
20251013-20251019,1741762027,1698217738824,31,7
20251013-20251019,1755246422,1698217743171,30,4
20251013-20251019,1713329090,1698217736890,29,7
20251013-20251019,1752747448,1698217741723,29,5
20251013-20251019,1751602642,1698217740846,29,7
20251013-20251019,1698203058,1698217740759,29,7
20251013-20251019,1698202251,1698217737753,29,7
20251013-20251019,1741762027,1698217738819,29,7
20251013-20251019,1741932733,1698217743806,28,7
20251013-20251019,1723801345,1698217738127,28,7
20251013-20251019,1755246422,1698217743180,28,4
20251013-20251019,1698203058,1698217736028,28,7
20251013-20251019,1754281426,1698217743027,27,7
20251013-20251019,1755246422,1698217743179,27,4
20251013-20251019,1752747448,1698217741729,27,6
20251013-20251019,1755246422,1698217743189,27,4
20251013-20251019,1757302420,1698217743924,27,7
20251013-20251019,1749463700,1698217739268,27,7
20251013-20251019,1755246422,1698217743158,27,4
20251013-20251019,1718444707,1698217739191,27,7
20251013-20251019,1756280066,1698217743613,26,6
20251013-20251019,1698203058,1698217740861,26,7
20251013-20251019,1755246422,1698217743164,26,3
20251013-20251019,1741932733,1698217742858,25,7
20251013-20251019,1741762027,1698217738828,25,7
20251013-20251019,1749463700,1698217739263,25,7
20251013-20251019,1698202251,1698217737028,25,7
20251013-20251019,1747388774,1698217739144,25,7
20251013-20251019,1741762027,1698217738805,25,7
20251013-20251019,1741932733,1698217738860,25,7
20251013-20251019,1741762027,1698217738826,25,6
20251013-20251019,1755248023,1698217743225,25,7
20251013-20251019,1698202251,1698217736115,25,7
20251013-20251019,1749463700,1698217739271,25,6
20251013-20251019,1713329090,1698217737051,24,7
20251013-20251019,1756280066,1698217743586,24,7
20251013-20251019,1719571148,1698217737817,24,7
20251013-20251019,1719571148,1698217740499,24,7
20251013-20251019,1755246422,1698217743192,24,4
20251013-20251019,1755246422,1698217743178,24,4
20251013-20251019,1756280066,1698217743583,24,7
20251013-20251019,1741932733,1698217738839,24,7
20251013-20251019,1718444707,1698217744690,23,5
20251013-20251019,1741932733,1698217741904,23,6
20251013-20251019,1713329090,1698217736887,23,7
20251013-20251019,1698203058,1698217736244,23,7
20251013-20251019,1741932733,1698217738847,23,7
20251013-20251019,1723801345,1698217738134,22,7
20251013-20251019,1760338096,1698217745041,22,7
20251013-20251019,1755248023,1698217743208,22,7
20251013-20251019,1755248023,1698217743210,22,7
20251013-20251019,1741762027,1698217738814,22,7
20251013-20251019,1756280066,1698217743585,22,6
20251013-20251019,1698202662,1698217736790,22,7
20251013-20251019,1752747448,1698217741745,21,5
20251013-20251019,1755248023,1698217743215,21,5
20251013-20251019,1757738096,1698217743581,21,7
20251013-20251019,1755248023,1698217743233,21,7
20251013-20251019,1751632483,1698217741209,21,7
20251013-20251019,1749463700,1698217739270,21,7
20251013-20251019,1751632483,1698217741211,21,7
20251013-20251019,1713329090,1698217736888,20,7
20251013-20251019,1757302420,1698217743920,20,6
20251013-20251019,1756783981,1698217743670,20,4
20251013-20251019,1751632483,1698217741227,20,7
20251013-20251019,1741932733,1698217738869,20,7
20251013-20251019,1750762420,1698217740218,20,7
20251013-20251019,1756783981,1698217743687,20,4
20251013-20251019,1698202662,1698217736397,20,7
20251013-20251019,1716179958,1698217741637,20,7
20251013-20251019,1755248023,1698217743202,20,6
20251013-20251019,1751602642,1698217740564,19,7
20251013-20251019,1751602642,1698217740576,19,7
20251013-20251019,1718444707,1698217743788,19,6
20251013-20251019,1752566036,1698217741544,19,6
20251013-20251019,1741932733,1698217738852,19,7
20251013-20251019,1752566036,1698217741543,19,7
20251013-20251019,1750762420,1698217740207,19,6
20251013-20251019,1741932733,1698217738855,18,7
20251013-20251019,1750762420,1698217740224,18,6
20251013-20251019,1751632483,1698217741228,18,7
20251013-20251019,1713329090,1698217737776,18,7
20251013-20251019,1751602642,1698217740568,18,7
20251013-20251019,1755246422,1698217743166,18,4
20251013-20251019,1756280066,1698217743575,18,6
20251013-20251019,1752566036,1698217741532,17,6
20251013-20251019,1751602642,1698217740562,17,6
20251013-20251019,1751632483,1698217741224,17,7
20251013-20251019,1755246422,1698217743170,17,4
20251013-20251019,1752566036,1698217741555,17,7
20251013-20251019,1741932733,1698217739458,17,7
20251013-20251019,1698202251,1698217736653,17,7
20251013-20251019,1756783981,1698217743666,17,4
20251013-20251019,1755248023,1698217743223,17,6
20251013-20251019,1752747448,1698217741718,16,6
20251013-20251019,1756280066,1698217743591,16,6
20251013-20251019,1741932733,1698217738848,16,7
20251013-20251019,1756783981,1698217743683,16,4
20251013-20251019,1751632483,1698217741212,16,6
20251013-20251019,1756280066,1698217743590,16,6
20251013-20251019,1749463700,1698217739273,15,6
20251013-20251019,1750413710,1698217739493,15,6
20251013-20251019,1742280059,1698217741663,15,7
20251013-20251019,1698202251,1698217741286,15,7
20251013-20251019,1756280066,1698217743608,15,7
20251013-20251019,1755246422,1698217743183,15,4
20251013-20251019,1713329090,1698217737586,15,6
20251013-20251019,1749463700,1698217739265,15,6
20251013-20251019,1698202251,1698217736226,15,6
20251013-20251019,1741932733,1698217738846,15,7
20251013-20251019,1755246422,1698217743176,15,3
20251013-20251019,1755248023,1698217743227,15,6
20251013-20251019,1741932733,1698217740910,15,6
20251013-20251019,1751632483,1698217741214,14,6
20251013-20251019,1757738096,1698217743576,14,7
20251013-20251019,1757738096,1698217743600,14,7
20251013-20251019,1749463700,1698217739288,14,6
20251013-20251019,1698203058,1698217736027,14,6
20251013-20251019,1753174385,1698217741780,14,4
20251013-20251019,1751632483,1698217741218,14,7
20251013-20251019,1755248023,1698217743219,14,6
20251013-20251019,1741932733,1698217738853,14,6
20251013-20251019,1741932733,1698217738864,14,6
20251013-20251019,1752747448,1698217741737,13,4
20251013-20251019,1753174385,1698217741788,13,5
20251013-20251019,1757302420,1698217743900,13,7
20251013-20251019,1757738096,1698217743590,13,5
20251013-20251019,1749463700,1698217739281,13,5
20251013-20251019,1751632483,1698217741225,13,6
20251013-20251019,1756280066,1698217743594,13,7
20251013-20251019,1741762027,1698217738820,13,7
20251013-20251019,1747388774,1698217739129,13,5
20251013-20251019,1741932733,1698217738861,13,5
20251013-20251019,1741932733,1698217740160,13,6
20251013-20251019,1755246422,1698217743194,13,4
20251013-20251019,1741932733,1698217738863,13,7
20251013-20251019,1750762420,1698217740216,13,6
20251013-20251019,1723801345,1698217738111,13,6
20251013-20251019,1741932733,1698217740808,12,5
20251013-20251019,1723801345,1698217738115,12,6
20251013-20251019,1755246422,1698217743165,12,4
20251013-20251019,1756280066,1698217743593,12,7
20251013-20251019,1755246422,1698217743190,12,4
20251013-20251019,1753174385,1698217741781,12,6
20251013-20251019,1751632483,1698217741213,12,5
20251013-20251019,1723801345,1698217738123,12,7
20251013-20251019,1755248023,1698217743205,12,6
20251013-20251019,1749463700,1698217743816,12,6
20251013-20251019,1718444707,1698217740790,12,7
20251013-20251019,1756783981,1698217743677,12,4
20251013-20251019,1751615500,1698217741388,12,6
20251013-20251019,1749463700,1698217742868,12,6
20251013-20251019,1723801345,1698217738119,12,6
20251013-20251019,1752747448,1698217741720,12,5
20251013-20251019,1751602642,1698217740559,12,6
20251013-20251019,1755246422,1698217743193,12,3
20251013-20251019,1756783981,1698217744634,11,4
20251013-20251019,1756783981,1698217743680,11,3
20251013-20251019,1756280066,1698217743595,11,5
20251013-20251019,1750762420,1698217740210,11,5
20251013-20251019,1752566036,1698217741714,11,6
20251013-20251019,1757302420,1698217743940,11,6
20251013-20251019,1741762027,1698217738827,11,7
20251013-20251019,1756783981,1698217743676,11,4
20251013-20251019,1751632483,1698217741217,11,6
20251013-20251019,1723801345,1698217738121,11,6
20251013-20251019,1718444707,1698217737737,11,4
20251013-20251019,1757302420,1698217743926,11,6
20251013-20251019,1698202662,1698217736095,11,7
20251013-20251019,1756280066,1698217743609,11,5
